Timestamp,Production (kW),Load kW,Load kVA
01/27 00,0.0,241.1,258.9
01/27 01,0.0,242.0,259.9
01/27 02,0.0,240.6,258.4
01/27 03,0.0,235.9,253.4
01/27 04,0.0,234.8,252.2
01/27 05,1.95,243.4,261.5
01/27 06,11.42,290.3,311.8
01/27 07,22.45,273.1,293.3
01/27 08,27.0,272.3,292.4
01/27 09,40.27,287.6,308.9
01/27 10,55.94,307.1,329.8
01/27 11,58.7,318.3,341.9
01/27 12,54.4,337.3,362.3
01/27 13,47.53,333.1,357.8
01/27 14,40.45,312.0,335.1
01/27 15,30.72,305.1,334.4
01/27 16,18.4,305.9,342.3
01/27 17,6.35,312.1,352.9
01/27 18,0.53,325.2,406.1
01/27 19,0.0,361.0,387.7
01/27 20,0.0,321.0,344.8
01/27 21,0.0,307.0,329.8
01/27 22,0.0,292.4,314.1
01/27 23,0.0,281.7,302.5
01/28 00,0.0,273.1,293.4
01/28 01,0.0,272.5,292.7
01/28 02,0.0,265.9,285.6
01/28 03,0.0,269.4,289.4
01/28 04,0.0,259.0,278.2
01/28 05,2.08,263.1,282.6
01/28 06,10.71,303.2,325.7
01/28 07,26.8,278.0,298.6
01/28 08,43.23,284.3,305.4
01/28 09,57.28,295.6,317.5
01/28 10,67.15,322.7,346.6
01/28 11,63.94,322.8,346.7
01/28 12,57.84,337.1,362.1
01/28 13,55.63,341.0,366.3
01/28 14,48.79,317.2,340.7
01/28 15,35.12,319.0,368.4
01/28 16,19.0,316.1,390.2
01/28 17,7.08,307.8,363.3
01/28 18,1.2,313.4,336.6
01/28 19,0.0,348.6,374.4
01/28 20,0.0,335.2,387.2
01/28 21,0.0,317.7,363.0
01/28 22,0.0,304.3,326.9
01/28 23,0.0,276.0,296.5
01/29 00,0.0,253.1,271.8
01/29 01,0.0,243.6,261.6
01/29 02,0.0,252.3,271.0
01/29 03,0.0,248.5,266.9
01/29 04,0.0,249.9,268.4
01/29 05,1.93,259.5,278.7
01/29 06,9.8,296.8,318.8
01/29 07,22.45,281.1,301.9
01/29 08,33.02,284.7,305.8
01/29 09,38.13,322.5,346.3
01/29 10,38.88,312.7,335.9
01/29 11,40.14,325.0,349.1
01/29 12,41.8,334.4,359.2
01/29 13,41.3,333.7,358.4
01/29 14,39.2,315.7,339.2
01/29 15,31.37,309.0,335.2
01/29 16,18.34,306.4,329.1
01/29 17,6.93,301.2,323.5
01/29 18,1.12,326.2,350.3
01/29 19,0.0,369.7,436.3
01/29 20,0.0,330.4,354.9
01/29 21,0.0,315.3,345.5
01/29 22,0.0,297.4,339.9
01/29 23,0.0,284.3,305.4
01/30 00,0.0,278.4,299.1
01/30 01,0.0,276.2,296.7
01/30 02,0.0,274.1,294.4
01/30 03,0.0,271.0,291.1
01/30 04,0.0,269.3,289.2
01/30 05,1.57,279.7,300.4
01/30 06,8.07,311.8,334.9
01/30 07,17.88,299.3,321.5
01/30 08,26.41,302.3,324.7
01/30 09,32.07,313.2,336.4
01/30 10,34.43,321.3,345.1
01/30 11,28.9,322.5,346.4
01/30 12,25.44,345.0,370.5
01/30 13,25.18,336.7,361.6
01/30 14,20.65,329.1,353.5
01/30 15,14.27,325.5,349.7
01/30 16,5.7,315.9,339.4
01/30 17,1.02,318.3,345.4
01/30 18,0.0,328.1,367.1
01/30 19,0.0,364.6,455.3
01/30 20,0.0,339.9,372.6
01/30 21,0.0,315.6,339.0
01/30 22,0.0,308.1,344.8
01/30 23,0.0,288.1,359.9
01/31 00,0.0,276.9,297.4
01/31 01,0.0,274.0,294.3
01/31 02,0.0,272.1,292.2
01/31 03,0.0,271.9,292.0
01/31 04,0.0,272.5,292.7
01/31 05,1.7,277.6,298.2
01/31 06,10.43,326.6,350.8
01/31 07,27.65,315.3,338.6
01/31 08,45.23,301.5,323.8
01/31 09,57.76,317.6,341.1
01/31 10,63.6,309.3,332.3
01/31 11,68.46,324.8,348.9
01/31 12,72.83,347.9,373.6
01/31 13,64.93,331.5,356.1
01/31 14,48.05,307.7,330.5
01/31 15,32.38,300.4,322.7
01/31 16,18.2,301.6,323.9
01/31 17,5.79,311.5,334.6
01/31 18,0.41,339.0,367.8
01/31 19,0.0,353.0,379.2
01/31 20,0.0,320.8,344.6
01/31 21,0.0,308.1,363.7
01/31 22,0.0,297.5,343.6
01/31 23,0.0,291.3,359.7
02/01 00,0.0,278.6,299.2
02/01 01,0.0,271.4,291.5
02/01 02,0.0,274.7,295.0
02/01 03,0.0,268.5,288.4
02/01 04,0.0,267.9,287.8
02/01 05,1.41,266.5,286.3
02/01 06,10.81,299.7,321.9
02/01 07,30.45,287.7,309.0
02/01 08,51.48,291.8,313.4
02/01 09,67.03,307.8,330.6
02/01 10,76.4,291.9,313.6
02/01 11,80.17,295.3,317.2
02/01 12,78.95,294.6,316.5
02/01 13,72.74,307.0,329.7
02/01 14,61.11,266.3,286.1
02/01 15,43.78,291.6,313.3
02/01 16,22.29,283.5,304.5
02/01 17,6.37,290.2,346.4
02/01 18,0.94,326.0,350.2
02/01 19,0.0,354.1,396.2
02/01 20,0.0,327.0,390.3
